CO/Pt111 System Monte-Carlo Simulation.		Started: Fri Nov 27 16:13:06 2009


name=./montecarlo-0.1.0, dim=16, n_co=26, n_sweeps=1, out_name=16x16theta0.1.csv
Interaction mode: McEwen

----------------------

Pair correlation function.
Bin resolution: 0.007071068

Bin centre	Probability	Number in bin
0.7071068	0.015384615	10
1.2232947	0.012307692	8
1.4142136	0.043076921	28
1.8738330	0.052307691	34
2.1213203	0.027692307	18
2.4465895	0.012307692	8
2.5526555	0.027692307	18
2.8284271	0.018461538	12
3.0829856	0.061538462	40
3.2385491	0.049230769	32
3.5355339	0.027692307	18
3.6769553	0.021538461	14
3.7405949	0.061538462	40
3.9385848	0.033846155	22
4.2426407	0.046153847	30
4.2992092	0.036923077	24
4.4123463	0.061538462	40
4.6386205	0.033846155	22
4.9002500	0.024615385	16
4.9497475	0.079999998	52
5.0982399	0.055384614	36
5.3386562	0.036923077	24
5.5225040	0.027692307	18
5.6144278	0.049230769	32
5.6568542	0.015384615	10
5.7912045	0.027692307	18
6.1235447	0.027692307	18
6.1659711	0.012307692	8

----------------------


