CO/Pt111 System Monte-Carlo Simulation.		Started: Tue Dec 15 16:27:15 2009


name=./montecarlo-1.1.1
dim=8, n_co=8
skip_sweeps=100000, time_factor=1, time_steps=10, repeats=1000
options: sp
Interaction mode: Nearest neighbour

----------------------

Coordinates:
0 0 0 0 0 0 0 0 
1 0 0 0 0 1 0 0 
0 0 1 1 0 0 0 1 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 0 
0 0 1 0 0 1 0 0 

----------------------

Fourier transform:
8.000	0.000		-1.707	-1.293		1.000	1.000		-0.293	2.707		2.000	0.000		
-2.414	-1.828		-1.121	1.293		0.000	-3.414		-0.293	-2.121		-0.414	1.000		
2.000	2.000		1.121	2.707		1.000	1.000		-2.293	0.707		0.000	2.000		
0.414	-3.828		-1.707	-2.121		0.000	1.414		3.121	-2.707		2.414	-1.000		
0.000	0.000		-0.879	0.707		1.000	1.000		-5.121	0.707		2.000	0.000		
0.414	3.828		1.707	-2.707		0.000	-0.586		-0.293	0.707		2.414	1.000		
2.000	-2.000		-3.707	0.707		5.000	1.000		-3.121	-1.293		0.000	-2.000		
-2.414	1.828		-1.707	0.707		0.000	-1.414		0.293	1.293		-0.414	-1.000		

----------------------

Coordinates:
0 0 0 0 1 0 0 0 
0 0 0 0 0 0 0 1 
0 0 0 0 0 0 0 1 
0 0 0 1 1 0 0 0 
0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 
1 0 0 0 0 1 1 0 
0 0 0 0 0 0 0 0 

----------------------

Fourier transform:
8.000	0.000		-1.000	2.414		2.000	2.000		-1.000	0.414		0.000	0.000		
0.293	-0.121		-0.293	1.293		3.707	-0.707		-0.293	4.121		0.293	2.707		
-3.000	1.000		-0.586	-4.828		1.000	1.000		-0.586	0.000		1.000	1.000		
1.707	-4.121		-1.707	0.121		1.121	-0.707		-1.707	-2.707		1.707	-1.293		
2.000	0.000		1.000	2.414		0.000	-2.000		1.000	0.414		2.000	0.000		
1.707	4.121		-3.707	-2.121		2.293	0.707		0.293	0.707		1.707	1.293		
-3.000	-1.000		-3.414	0.000		1.000	-1.000		-3.414	-0.828		1.000	-1.000		
0.293	0.121		1.707	0.707		-3.121	0.707		-2.293	-2.121		0.293	-2.707		

----------------------

ISF:
time_factor: 1, time_steps: 10, repeats: 1000

Real
Timestep 1	Timestep 2	k0	k1	k2	k3	k4	
0	0	64.00000	6.01621	6.69400	7.12779	7.89200	
0	1	64.00000	4.88063	3.37400	2.24737	2.30000	
0	2	64.00000	3.87080	1.57200	0.56720	0.77200	
0	3	64.00000	2.99802	1.16000	0.52598	0.26400	
0	4	64.00000	2.20495	0.04200	0.22505	0.19200	
0	5	64.00000	1.81482	0.07800	-0.02082	-0.05600	
0	6	64.00000	1.43530	0.19600	0.14270	0.16400	
0	7	64.00000	1.14144	0.18200	0.01856	0.01200	
0	8	64.00000	0.83204	-0.04000	0.10796	-0.43200	
0	9	64.00000	0.56007	-0.19400	-0.13007	-0.32800	
0	10	64.00000	0.51571	0.04000	-0.10371	0.02400	

Imaginary
Timestep 1	Timestep 2	k0	k1	k2	k3	k4	
0	0	0.00000	0.00000	0.00000	0.00000	0.00000	
0	1	0.00000	-0.08297	-0.16800	0.04903	0.00000	
0	2	0.00000	-0.12357	-0.03000	0.01043	0.00000	
0	3	0.00000	-0.20359	-0.01200	-0.27159	0.00000	
0	4	0.00000	-0.18717	-0.07000	-0.28517	0.00000	
0	5	0.00000	-0.18948	-0.15800	-0.22348	0.00000	
0	6	0.00000	-0.14626	0.18200	-0.22426	0.00000	
0	7	0.00000	-0.15565	-0.12400	-0.25165	0.00000	
0	8	0.00000	-0.03074	-0.12000	-0.27474	0.00000	
0	9	0.00000	-0.03955	-0.17800	-0.18955	0.00000	
0	10	0.00000	0.02699	-0.04400	-0.10901	0.00000	

Real variance
Timestep 1	Timestep 2	k0	k1	k2	k3	k4	
0	0	-0.00000	36.77182	42.61836	45.59201	111.74834	
0	1	-0.00000	30.86799	26.74012	27.23677	63.46200	
0	2	-0.00000	25.28634	23.50482	24.89484	61.08402	
0	3	-0.00000	21.95526	21.39040	26.32794	62.68230	
0	4	-0.00000	18.33446	22.16224	25.75909	58.45914	
0	5	-0.00000	18.65281	24.55792	24.13517	49.46886	
0	6	-0.00000	16.74641	21.91358	26.45115	58.67710	
0	7	-0.00000	17.52861	22.14688	26.33215	70.99186	
0	8	-0.00000	17.54864	20.99840	27.75542	58.56538	
0	9	-0.00000	17.31322	22.84636	27.10218	62.67642	
0	10	-0.00000	17.74939	20.99040	25.13789	61.37542	

Imaginary variance
Timestep 1	Timestep 2	k0	k1	k2	k3	k4	
0	0	0.00000	0.00000	0.00000	0.00000	0.00000	
0	1	0.00000	6.61894	15.88378	24.48777	0.00000	
0	2	0.00000	10.87566	20.23510	28.09897	0.00000	
0	3	0.00000	13.76955	20.82386	26.99124	0.00000	
0	4	0.00000	15.33543	21.92710	27.73422	0.00000	
0	5	0.00000	15.98337	22.32304	27.61679	0.00000	
0	6	0.00000	18.77525	22.29088	25.82307	0.00000	
0	7	0.00000	18.02887	23.44062	27.32358	0.00000	
0	8	0.00000	18.04416	22.76960	26.74341	0.00000	
0	9	0.00000	18.20436	22.22832	24.03615	0.00000	
0	10	0.00000	17.83718	22.46206	26.36221	0.00000	

----------------------

Pair correlation function.
Bin resolution: 0.007071068, normalisation factor: 560000

Bin centre	Probability	Number in bin
1.0000	0.070975	39746
1.7300	0.099929	55960
2.0000	0.099036	55460
2.6500	0.195564	109516
3.0000	0.097450	54572
3.4600	0.097564	54636
3.6100	0.193575	108402
4.0000	0.049054	27470
4.3600	0.096854	54238

----------------------


